Unnamed: 0,DISTRICT,BLOCK,PANCHAYAT,VILLAGE,LATITUDE,LONGITUDE,PH,P,K,CA,MG
80,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.646166667,76.65827778,5.0,10.19,109.54,195.7,187.58
81,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.641916667,76.65325,5.4,13.22,321.55,190.47,129.73
82,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.641916667,76.654,4.1,51.8,199.02,183.95,82.2
83,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.641333333,76.65527778,4.1,59.51,214.03,399.4,197.93
84,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.641388889,76.65472222,4.5,9.92,200.14,128.1,106.93
85,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.63443,76.6649,6.8,112.14,378.22,938.05,414.55
86,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.63489,76.67108,6.9,28.65,439.71,1000.0,427.48
88,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.64048,76.666691,5.5,5.51,483.06,156.95,153.48
89,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.64175,76.666744,6.5,19.01,362.77,239.45,313.08
90,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.64669,76.6631,5.6,8.54,416.64,212.5,139.15
91,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.64974,76.66115,5.3,34.99,618.13,429.35,347.13
92,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.63653,76.67278,5.6,20.11,284.82,468.0,305.18
93,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.64357,76.66826,5.2,17.63,230.38,265.6,267.88
94,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.64398,76.6672,5.6,5.79,238.0,198.65,232.03
95,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.65042,76.65962,6.2,7.99,291.31,639.8,500.0
96,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.64702,76.65802,6.9,19.56,363.89,1000.0,240.28
97,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.64501,76.66135,5.7,5.79,297.14,319.85,190.08
98,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.63361,76.66692,5.5,13.22,439.94,200.5,188.63
